"THRESH","A_ALLOC","DRAG","CUMULATIVE"
0.05,0.4,0,3.47426459313987
0.05,0.4,1,3.42562570702889
0.05,0.5,0,3.91944214368204
0.05,0.5,1,3.93899933915412
0.05,0.6,0,4.43412108088776
0.05,0.6,1,4.46886935412314
0.05,0.7,0,4.98600452467448
0.05,0.7,1,4.97626194523032
0.05,0.8,0,5.31982558276779
0.05,0.8,1,5.45734412930665
0.05,0.9,0,5.85303408308693
0.05,0.9,1,5.84372022853435
0.1,0.4,0,3.51511006525388
0.1,0.4,1,3.50205691908477
0.1,0.5,0,4.06339248411508
0.1,0.5,1,4.0541550562385
0.1,0.6,0,4.59753760647916
0.1,0.6,1,4.49081961466443
0.1,0.7,0,5.19091672373486
0.1,0.7,1,5.04598279709422
0.1,0.8,0,5.53786556819952
0.1,0.8,1,5.53745839538272
0.1,0.9,0,5.76355962239405
0.1,0.9,1,5.7536228619983
0.15,0.4,0,3.43493003977109
0.15,0.4,1,3.5681846665961
0.15,0.5,0,4.29855823180037
0.15,0.5,1,4.34454562059645
0.15,0.6,0,4.7708616707739
0.15,0.6,1,4.59672755484349
0.15,0.7,0,5.16028221507798
0.15,0.7,1,5.21693767406545
0.15,0.8,0,5.94389585005259
0.15,0.8,1,5.95422508468427
0.15,0.9,0,5.6941150089964
0.15,0.9,1,5.68516710887706
0.2,0.4,0,3.86310622038857
0.2,0.4,1,3.3335796755309
0.2,0.5,0,4.03509025110769
0.2,0.5,1,4.21044258775876
0.2,0.6,0,4.71747130054826
0.2,0.6,1,4.69022317828547
0.2,0.7,0,6.21949394103917
0.2,0.7,1,5.14594558440806
0.2,0.8,0,5.47414783226269
0.2,0.8,1,5.44288823379337
0.2,0.9,0,5.77970097549427
0.2,0.9,1,5.76211745135525
