INDEX_NAME,INDEX_CODE
ARGENTINA,903200
AUSTRALIA,903600
AUSTRIA,904000
BELGIUM,905600
BRAZIL,907600
CANADA,912400
CHILE,915200
CHINA,302400
COLOMBIA,917000
DENMARK,920800
FRANCE,925000
GERMANY,928000
GREECE,930000
HONG KONG,934400
INDIA,935600
INDONESIA,105767
IRELAND,937200
ISRAEL,300400
ITALY,938000
JAPAN,939200
JORDAN,940000
KOREA,941000
MALAYSIA,105768
MEXICO,848400
NETHERLANDS,952800
NEW ZEALAND,955400
NORWAY,957800
PAKISTAN,958600
PERU,960400
PHILIPPINES,860800
POLAND,961600
PORTUGAL,962000
SINGAPORE,998100
SOUTH AFRICA,971000
SPAIN,972400
SRI LANKA,914400
SWEDEN,975200
SWITZERLAND,975600
TAIWAN,915800
THAILAND,105769
TURKEY,979200
UNITED KINGDOM,982600
USA,984000
