"STRATEGY","REBAL_FREQ","FORMATION_PERIOD","SIZE","SHARPE","RET"
"MOM_0",1,12,"10",1.16425739748939,0.555733112933541
"MOM_0",1,12,"20",1.45221111411109,0.407532685215458
"MOM_0",1,12,"30",1.50934731603031,0.356142886465331
"MOM_0",1,12,"40",1.44497436993992,0.317360096820387
"MOM_0",1,12,"50",1.3665873846621,0.293792091449383
"MOM_0",1,12,"60",1.3823511913945,0.286890403858194
"MOM_0",1,12,"70",1.39838627073976,0.28286221882232
"MOM_0",1,12,"80",1.36958906445171,0.272395660212404
"MOM_0",1,12,"90",1.36283137959677,0.267123376005391
"MOM_0",1,12,"100",1.32716011971989,0.257603389793549
"MOM_1",1,12,"10",1.24749678088722,0.56515967977945
"MOM_1",1,12,"20",1.46728775783977,0.410225029360206
"MOM_1",1,12,"30",1.44277625021767,0.349636110448893
"MOM_1",1,12,"40",1.43499092546583,0.320425611424646
"MOM_1",1,12,"50",1.45732875395858,0.314225654838446
"MOM_1",1,12,"60",1.42581659957513,0.300464107199101
"MOM_1",1,12,"70",1.35988428151627,0.281056777090984
"MOM_1",1,12,"80",1.35741762021525,0.273085826599813
"MOM_1",1,12,"90",1.31845941119909,0.260756862858195
"MOM_1",1,12,"100",1.26716109825962,0.25009956694622
"MOM_0",6,12,"10",0.900889668763072,0.39376277274238
"MOM_0",6,12,"20",1.12021629381259,0.303870822209334
"MOM_0",6,12,"30",1.28648648787342,0.294386914547844
"MOM_0",6,12,"40",1.28906027250493,0.277527790787229
"MOM_0",6,12,"50",1.23849719030147,0.257599958829687
"MOM_0",6,12,"60",1.21124935786433,0.242971484338345
"MOM_0",6,12,"70",1.17440376007153,0.236114045168084
"MOM_0",6,12,"80",1.13927008527074,0.22576147193342
"MOM_0",6,12,"90",1.1054906342321,0.218318818052614
"MOM_0",6,12,"100",1.07526877536013,0.208323474531328
"MOM_1",6,12,"10",0.869456709054387,0.381152306343544
"MOM_1",6,12,"20",1.05897910767943,0.285099349810258
"MOM_1",6,12,"30",1.31301212926796,0.296798419121624
"MOM_1",6,12,"40",1.32616418876301,0.285818737798643
"MOM_1",6,12,"50",1.2705296307113,0.260072668181903
"MOM_1",6,12,"60",1.25079925317182,0.246451167986232
"MOM_1",6,12,"70",1.15279068895705,0.225956579150447
"MOM_1",6,12,"80",1.11862448941027,0.2155219901247
"MOM_1",6,12,"90",1.12160680099028,0.215871688207442
"MOM_1",6,12,"100",1.10721851083642,0.210340393826626
"BENCH",0,0,"0",0.648864631926935,0.111177080564757
