"SHARPE","RET","ID"
0.896837129971484,18.8974469742871,"MOM_0_1"
0.946191231381673,20.6109550403605,"MOM_1_1"
0.9405814987049,19.187896151453,"MOM_2_1"
0.858246558002763,17.9332250262958,"MOM_3_1"
0.743269111935597,15.7425992314793,"MOM_4_1"
0.821183278892194,17.3084969159653,"MOM_5_1"
0.923280270013062,19.5754588945591,"MOM_0_2"
1.00710419645907,20.5901467958207,"MOM_1_2"
0.958636046073028,19.4301032855161,"MOM_2_2"
0.752371676252874,15.8223341504712,"MOM_3_2"
0.841903898947212,17.3802092282544,"MOM_4_2"
0.776705222089261,16.3518997783915,"MOM_5_2"
0.803128209058011,17.44399056777,"MOM_0_3"
0.856995049986646,17.5151287110673,"MOM_1_3"
0.812900800115882,16.6229587290603,"MOM_2_3"
0.757225810089266,16.1278692990309,"MOM_3_3"
0.71689597334401,14.5969171884972,"MOM_4_3"
0.690259582866109,14.0576736439767,"MOM_5_3"
0.969458632548914,20.7225301620794,"MOM_0_4"
0.918374923633352,18.8169269469086,"MOM_1_4"
0.790596841488,15.9450995781942,"MOM_2_4"
0.644579953181015,13.4139792134487,"MOM_3_4"
0.712233254870347,14.9213435538662,"MOM_4_4"
0.665202333837411,14.2896413130003,"MOM_5_4"
0.821291442743654,17.1657539350751,"MOM_0_5"
0.882694696107826,18.0469183657827,"MOM_1_5"
0.80095994141813,15.9245500667792,"MOM_2_5"
0.872632294762298,16.5695607716473,"MOM_3_5"
0.78309409328547,16.4068471886592,"MOM_4_5"
0.768886851002913,16.3902777481902,"MOM_5_5"
0.954759028530957,19.4632946605397,"MOM_0_6"
0.876592337949096,17.1320459869717,"MOM_1_6"
0.975166509492945,18.6697131755929,"MOM_2_6"
0.618479871236219,13.4356677626895,"MOM_3_6"
0.604020522151503,12.6938255573084,"MOM_4_6"
0.638085384425835,13.9656416021899,"MOM_5_6"
0.733297325269376,14.5005621155802,"MOM_0_7"
0.798961128058055,15.4820458992676,"MOM_1_7"
0.69347759804823,15.1705317658989,"MOM_2_7"
0.72997251730704,15.2672870638903,"MOM_3_7"
0.665801695025004,14.0072505464716,"MOM_4_7"
0.582891459442921,12.3088138506944,"MOM_5_7"
0.750063664158968,15.6239074418483,"MOM_0_8"
0.698584853899062,14.427125505652,"MOM_1_8"
0.645274401686771,13.078632250709,"MOM_2_8"
0.582632108052318,12.185582899906,"MOM_3_8"
0.650488428238651,14.0137854156897,"MOM_4_8"
0.652958473183848,13.8389788751942,"MOM_5_8"
0.587545136413234,12.318209642908,"MOM_0_9"
0.627757224854773,12.5819403552544,"MOM_1_9"
0.704344728868917,14.3260357890081,"MOM_2_9"
0.80051054397182,16.5552376481284,"MOM_3_9"
0.744484053523772,14.9197202460219,"MOM_4_9"
0.562443143642635,11.5348109307765,"MOM_5_9"
0.773446491081329,15.6619115800912,"MOM_0_10"
0.678349704755695,14.1065168378845,"MOM_1_10"
0.575486668381246,11.7624751274857,"MOM_2_10"
0.612093585199115,12.0301438071472,"MOM_3_10"
0.657117387178196,13.8440082380478,"MOM_4_10"
0.596105014569279,13.0451223175992,"MOM_5_10"
0.994170299759555,20.9056718049504,"MOM_0_11"
0.894468813389684,18.4904323342076,"MOM_1_11"
0.895835363585749,18.183801317202,"MOM_2_11"
0.789520225120713,16.3508947550214,"MOM_3_11"
0.733369570848213,14.9413733900452,"MOM_4_11"
0.657167081817232,13.4371102840985,"MOM_5_11"
0.75590677530188,14.8840834243754,"MOM_0_12"
0.513873972138708,10.2411522542211,"MOM_1_12"
0.490332235262724,9.76440390118529,"MOM_2_12"
0.31428245401711,6.73669149380969,"MOM_3_12"
0.289947862556218,6.29267738611419,"MOM_4_12"
0.457436933821028,10.3251319489171,"MOM_5_12"
0.598088315770779,10.3837785424068,"BENCH_0"
