"Symbol","ScLO_SR","ScLO_Ret","ScLO_DD","ScLS_SR","ScLS_Ret","ScLS_DD","BinLO_SR","BinLO_Ret","BinLO_DD","BinLS_SR","BinLS_Ret","BinLS_DD","BH_SR","BH_Ret","BH_DD"
"ADAUSDT",0.903,0.263,0.3548,0.452,0.1072,0.6671,0.738,0.3028,0.7505,0.522,0.0783,0.9694,0.546,0.123,0.9517
"BTCUSDT",0.826,0.1559,0.2462,0.414,0.0806,0.3906,0.792,0.2405,0.4995,0.523,0.148,0.6358,0.613,0.1965,0.7642
"BNBUSDT",0.808,0.2227,0.337,0.459,0.1098,0.5989,0.769,0.3098,0.6523,0.394,0.0431,0.8723,0.834,0.3981,0.7086
"VETUSDT",0.72,0.1929,0.4054,0.386,0.0749,0.6614,0.597,0.1996,0.7516,0.414,-0.0291,0.8976,0.479,0.0228,0.9824
"ETHUSDT",0.649,0.1411,0.3607,0.314,0.0493,0.6637,0.59,0.1825,0.715,0.221,-0.0775,0.9474,0.663,0.2411,0.793
"ETCUSDT",0.514,0.118,0.5953,0.084,-0.0485,0.8954,0.368,0.0456,0.9102,0.14,-0.2125,0.992,0.429,0.0122,0.9495
"XRPUSDT",0.506,0.1114,0.5486,0.081,-0.0399,0.7634,0.211,-0.0518,0.8572,-0.236,-0.4601,0.9986,0.571,0.1515,0.8324
"NEOUSDT",0.462,0.0967,0.3659,0.179,-0.0161,0.7102,0.522,0.1485,0.704,0.522,0.0941,0.8454,0.239,-0.1459,0.9844
"TRXUSDT",0.448,0.1092,0.4153,0.111,-0.0191,0.6424,0.579,0.2062,0.6208,0.243,-0.0608,0.8099,0.765,0.3595,0.6951
"XLMUSDT",0.349,0.0658,0.5057,-0.068,-0.1016,0.7587,0.415,0.0757,0.7764,0.162,-0.1971,0.8983,0.535,0.1189,0.909
"QTUMUSDT",0.333,0.0583,0.4015,-0.016,-0.0938,0.7787,0.246,-0.0494,0.8782,0.06,-0.2975,0.9872,0.326,-0.1073,0.9756
"ICXUSDT",0.312,0.0498,0.5332,0.159,-0.0423,0.8227,0.374,0.0401,0.7866,0.315,-0.1165,0.9749,0.22,-0.1894,0.9919
"IOTAUSDT",0.271,0.0382,0.5536,0.104,-0.0483,0.8136,0.198,-0.051,0.8933,0.099,-0.247,0.9867,0.204,-0.1732,0.9849
"NULSUSDT",0.182,0.0155,0.5537,0.161,-0.0606,0.9087,0.298,-0.0115,0.8515,0.185,NA,1.0182,0.204,-0.2885,0.9828
"EOSUSDT",-0.051,-0.0402,0.5298,-0.311,-0.1805,0.8208,-0.155,-0.2447,0.9562,-0.386,-0.5028,0.9979,0.2,-0.181,0.9718
"LTCUSDT",-0.119,-0.0508,0.6666,-0.28,-0.1536,0.8867,0.104,-0.0789,0.9194,-0.106,-0.2924,0.9938,0.296,-0.0518,0.8944
"ONTUSDT",-0.126,-0.0533,0.5673,-0.369,-0.2349,0.9482,0.011,-0.1626,0.9206,-0.101,-0.4124,0.9979,0.144,-0.2535,0.9854
"BCHABCUSDT",-1.372,-0.069,0.0309,-1.027,-0.3485,0.1868,-0.025,-0.055,0.1393,0.907,0.5126,0.2347,-0.891,-0.6626,0.375
"TUSDUSDT",-5.653,-0.0686,0.4788,-4.252,-0.0743,0.5076,-4.456,-0.078,0.5252,-3.631,-0.0907,0.5819,0.02,0.0002,0.0481
"USDCUSDT",-6.929,-0.0769,0.5199,-6.813,-0.0801,0.5353,-6.626,-0.0863,0.5633,-4.543,-0.0978,0.6111,0.031,0.0004,0.0465
"PAXUSDT",-7.771,-0.0917,0.2411,-7.969,-0.0961,0.2517,-7.428,-0.1102,0.285,-7.171,-0.1316,0.333,0.052,0.0007,0.013
